team,season,goalsAgainst,xGoalsAgainst,shotsOnGoalAgainst,savedShotsOnGoalAgainst,highDangerShotsAgainst,highDangerxGoalsAgainst,save_percentage,goals_saved_above_expected
Anaheim Ducks,2019,149.0,137.45,1788.0,1639.0,100.0,27.27,0.9166666666666666,-11.550000000000011
Arizona Coyotes,2019,129.0,141.57,1787.0,1658.0,95.0,27.31,0.927811975377728,12.569999999999991
Boston Bruins,2019,107.0,118.26,1590.0,1483.0,75.0,20.86,0.9327044025157232,11.260000000000003
Buffalo Sabres,2019,133.0,131.45,1705.0,1572.0,107.0,29.01,0.9219941348973608,-1.5500000000000114
Calgary Flames,2019,149.0,137.93,1800.0,1651.0,117.0,33.34,0.9172222222222224,-11.069999999999991
Carolina Hurricanes,2019,137.0,128.48,1547.0,1410.0,106.0,29.57,0.9114414996767938,-8.52000000000001
Chicago Blackhawks,2019,148.0,155.89,1962.0,1814.0,142.0,40.85,0.924566768603466,7.889999999999986
Colorado Avalanche,2019,116.0,125.48,1682.0,1566.0,116.0,31.74,0.9310344827586208,9.480000000000004
Columbus Blue Jackets,2019,122.0,125.5,1696.0,1574.0,87.0,25.87,0.9280660377358492,3.5
Dallas Stars,2019,111.0,118.55,1645.0,1534.0,88.0,24.6,0.9325227963525836,7.549999999999997
Detroit Red Wings,2019,169.0,144.0,1779.0,1610.0,119.0,34.18,0.9050028105677348,-25.0
Edmonton Oilers,2019,156.0,140.49,1780.0,1624.0,126.0,35.04,0.9123595505617976,-15.509999999999993
Florida Panthers,2019,157.0,142.34,1729.0,1572.0,121.0,33.47,0.909196067090804,-14.659999999999997
Los Angeles Kings,2019,142.0,134.25,1653.0,1511.0,108.0,31.52,0.9140955837870538,-7.75
Minnesota Wild,2019,140.0,118.49,1648.0,1508.0,99.0,27.62,0.9150485436893204,-21.510000000000005
Montreal Canadiens,2019,147.0,137.65,1718.0,1571.0,123.0,33.96,0.9144353899883586,-9.349999999999994
Nashville Predators,2019,136.0,133.44,1687.0,1551.0,111.0,32.2,0.919383521043272,-2.5600000000000023
New Jersey Devils,2019,157.0,148.09,1792.0,1635.0,123.0,33.52,0.9123883928571428,-8.909999999999997
New York Islanders,2019,135.0,130.11,1738.0,1603.0,101.0,29.18,0.922324510932106,-4.889999999999986
New York Rangers,2019,143.0,144.38,1794.0,1651.0,129.0,35.2,0.9202898550724636,1.3799999999999957
Ottawa Senators,2019,156.0,148.43,1857.0,1701.0,117.0,31.78,0.9159935379644588,-7.569999999999993
Philadelphia Flyers,2019,133.0,136.79,1578.0,1445.0,128.0,36.28,0.9157160963244614,3.789999999999992
Pittsburgh Penguins,2019,139.0,121.95,1631.0,1492.0,120.0,32.68,0.91477621091355,-17.049999999999997
San Jose Sharks,2019,163.0,141.06,1644.0,1481.0,130.0,35.15,0.900851581508516,-21.94
St. Louis Blues,2019,119.0,128.38,1607.0,1488.0,106.0,29.43,0.925948973242066,9.379999999999995
Tampa Bay Lightning,2019,121.0,124.43,1620.0,1499.0,97.0,27.25,0.9253086419753086,3.430000000000007
Toronto Maple Leafs,2019,162.0,144.72,1777.0,1615.0,109.0,30.22,0.9088351153629712,-17.28
Vancouver Canucks,2019,145.0,142.38,1770.0,1625.0,129.0,35.62,0.9180790960451978,-2.6200000000000045
Vegas Golden Knights,2019,145.0,132.17,1629.0,1484.0,132.0,36.95,0.910988336402701,-12.830000000000013
Washington Capitals,2019,143.0,134.28,1621.0,1478.0,132.0,36.22,0.9117828500925356,-8.719999999999999
Winnipeg Jets,2019,142.0,163.48,1874.0,1732.0,147.0,40.13,0.9242262540021344,21.47999999999999
Anaheim Ducks,2020,123.0,110.17,1367.0,1244.0,96.0,26.42,0.9100219458668616,-12.829999999999998
Arizona Coyotes,2020,115.0,103.95,1312.0,1197.0,84.0,23.02,0.9123475609756098,-11.049999999999995
Boston Bruins,2020,93.0,94.85,1169.0,1076.0,69.0,21.5,0.9204448246364414,1.8499999999999943
Buffalo Sabres,2020,137.0,118.03,1533.0,1396.0,95.0,26.05,0.9106327462491846,-18.97
Calgary Flames,2020,104.0,94.09,1228.0,1124.0,70.0,19.82,0.9153094462540716,-9.909999999999997
Carolina Hurricanes,2020,82.0,101.17,1252.0,1170.0,78.0,21.43,0.9345047923322684,19.17
Chicago Blackhawks,2020,126.0,111.86,1494.0,1368.0,87.0,24.47,0.9156626506024096,-14.14
Colorado Avalanche,2020,89.0,79.01,1058.0,969.0,65.0,17.76,0.9158790170132324,-9.989999999999997
Columbus Blue Jackets,2020,131.0,115.46,1504.0,1373.0,99.0,28.73,0.9128989361702128,-15.540000000000006
Dallas Stars,2020,95.0,84.88,1164.0,1069.0,52.0,14.17,0.918384879725086,-10.120000000000005
Detroit Red Wings,2020,113.0,108.0,1426.0,1313.0,88.0,25.67,0.9207573632538568,-5.0
Edmonton Oilers,2020,117.0,114.26,1375.0,1258.0,89.0,24.97,0.9149090909090908,-2.739999999999995
Florida Panthers,2020,94.0,95.3,1271.0,1177.0,77.0,21.74,0.926042486231314,1.2999999999999972
Los Angeles Kings,2020,119.0,112.2,1327.0,1208.0,119.0,31.86,0.910324039186134,-6.799999999999997
Minnesota Wild,2020,108.0,97.69,1331.0,1223.0,75.0,20.45,0.9188580015026296,-10.310000000000002
Montreal Canadiens,2020,103.0,101.17,1193.0,1090.0,92.0,25.23,0.9136630343671416,-1.8299999999999983
Nashville Predators,2020,90.0,104.09,1399.0,1309.0,72.0,20.9,0.9356683345246604,14.090000000000003
New Jersey Devils,2020,123.0,112.8,1385.0,1262.0,96.0,27.63,0.9111913357400722,-10.200000000000005
New York Islanders,2020,90.0,91.72,1307.0,1217.0,57.0,16.91,0.9311400153022188,1.7199999999999989
New York Rangers,2020,106.0,102.2,1334.0,1228.0,85.0,22.67,0.9205397301349324,-3.799999999999997
Ottawa Senators,2020,132.0,113.1,1421.0,1289.0,98.0,26.36,0.9071076706544688,-18.90000000000001
Philadelphia Flyers,2020,134.0,102.81,1282.0,1148.0,83.0,23.15,0.8954758190327613,-31.19
Pittsburgh Penguins,2020,101.0,105.42,1333.0,1232.0,99.0,27.7,0.9242310577644413,4.420000000000002
San Jose Sharks,2020,134.0,109.97,1394.0,1260.0,106.0,29.16,0.9038737446197992,-24.03
St. Louis Blues,2020,109.0,104.86,1300.0,1191.0,88.0,25.85,0.9161538461538462,-4.140000000000001
Tampa Bay Lightning,2020,98.0,97.25,1227.0,1129.0,64.0,17.92,0.9201303993480032,-0.75
Toronto Maple Leafs,2020,95.0,106.84,1243.0,1148.0,76.0,20.03,0.9235720032180208,11.840000000000003
Vancouver Canucks,2020,131.0,127.15,1477.0,1346.0,102.0,27.84,0.9113067027758972,-3.8499999999999934
Vegas Golden Knights,2020,97.0,108.92,1235.0,1138.0,116.0,32.02,0.9214574898785424,11.920000000000002
Washington Capitals,2020,107.0,98.43,1279.0,1172.0,88.0,24.38,0.9163408913213448,-8.569999999999993
Winnipeg Jets,2020,101.0,120.54,1333.0,1232.0,112.0,30.23,0.9242310577644413,19.540000000000006
Anaheim Ducks,2021,187.0,166.4,2102.0,1915.0,119.0,32.95,0.9110371075166508,-20.59999999999999
Arizona Coyotes,2021,221.0,188.46,2283.0,2062.0,171.0,47.16,0.903197547087166,-32.53999999999999
Boston Bruins,2021,144.0,135.36,1756.0,1612.0,104.0,28.93,0.917995444191344,-8.639999999999986
Buffalo Sabres,2021,201.0,176.12,2160.0,1959.0,151.0,43.18,0.9069444444444444,-24.879999999999995
Calgary Flames,2021,140.0,148.18,1867.0,1727.0,121.0,33.36,0.9250133904659882,8.180000000000007
Carolina Hurricanes,2021,141.0,158.44,1814.0,1673.0,144.0,39.69,0.922271223814774,17.439999999999998
Chicago Blackhawks,2021,192.0,152.63,2137.0,1945.0,109.0,29.95,0.910154422087038,-39.370000000000005
Colorado Avalanche,2021,153.0,157.07,2038.0,1885.0,140.0,38.09,0.9249263984298332,4.069999999999993
Columbus Blue Jackets,2021,214.0,199.7,2348.0,2134.0,151.0,42.61,0.9088586030664396,-14.300000000000011
Dallas Stars,2021,160.0,161.01,2012.0,1852.0,127.0,36.33,0.9204771371769384,1.009999999999991
Detroit Red Wings,2021,203.0,188.36,2215.0,2012.0,144.0,40.07,0.908352144469526,-14.639999999999986
Edmonton Oilers,2021,173.0,173.78,2050.0,1877.0,143.0,40.21,0.915609756097561,0.7800000000000011
Florida Panthers,2021,161.0,173.3,1912.0,1751.0,175.0,48.51,0.915794979079498,12.300000000000011
Los Angeles Kings,2021,152.0,166.18,1815.0,1663.0,148.0,40.25,0.9162534435261708,14.180000000000009
Minnesota Wild,2021,150.0,141.79,1916.0,1766.0,104.0,28.94,0.9217118997912316,-8.210000000000008
Montreal Canadiens,2021,196.0,185.87,2169.0,1973.0,181.0,48.82,0.909635776855694,-10.129999999999995
Nashville Predators,2021,156.0,158.48,1955.0,1799.0,117.0,31.84,0.9202046035805628,2.4799999999999898
New Jersey Devils,2021,216.0,175.05,2099.0,1883.0,145.0,40.99,0.8970938542162935,-40.94999999999999
New York Islanders,2021,160.0,169.51,2154.0,1994.0,156.0,44.07,0.9257195914577532,9.509999999999993
New York Rangers,2021,148.0,165.23,2007.0,1859.0,139.0,37.34,0.926258096661684,17.22999999999999
