playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,season_type
8473986,2025,Alex Killorn,ANA,L,5on5,55,41228.0,892.0,23.13,0.53,0.51,0.53,0.51,0.54,0.51,334.0,85.89,7.68,6.14,20.23,2.87,44.34,32.74,7.41,7.61,7.35,4.0,4.0,78.0,36.0,24.0,138.0,12.0,4.0,12.0,0.0,23.0,0.0,43.0,32.0,74.0,110.0,11.0,22.0,25.0,46.0,13.0,37.0,84.0,26.0,4.0,2.91,3.63,1.14,0.0,4.0,0.0,136.54,114.0,112.92,8.0,1.3,2.36,1.86,7.11,7.07,6.98,892.0,104.0,111.0,161.0,516.0,168.0,124.0,125.0,475.0,25.0,43.0,121294.0,22.0,18.0,9.0,17.0,387.57,32.06,30.79,32.07,30.81,347.0,180.0,199.0,726.0,23.0,42.0,2.0,402.0,97.0,28.0,11.74,12.39,7.92,8.0,13.0,2.0,719.81,527.0,524.22,5.3,8.67,8.67,28.69,28.68,28.18,336.16,27.87,26.58,27.8,26.53,280.0,176.0,192.0,648.0,23.0,33.0,3.0,341.0,89.0,26.0,10.56,10.47,6.84,9.0,10.0,4.0,649.67,456.0,456.04,4.66,6.16,6.16,26.37,26.32,25.7,87.02,85.05,2084.0,1965.0,1.55,1.28,27.0,30.0,20.0,23.0,regular
8484762,2025,Beckett Sennecke,ANA,R,5on5,55,47978.0,1033.0,44.07,0.52,0.51,0.52,0.52,0.52,0.52,185.0,111.04,11.7,7.86,25.93,3.63,54.26,40.63,11.1,11.72,11.13,8.0,7.0,93.0,51.0,41.0,185.0,30.0,15.0,12.0,3.0,14.0,0.0,52.0,51.0,78.0,129.0,16.0,32.0,0.0,58.0,10.0,52.0,92.0,39.0,13.0,3.7,4.66,3.33,3.0,7.0,5.0,184.79,144.0,143.57,9.0,1.65,1.96,2.68,10.67,10.7,10.45,1033.0,131.0,91.0,208.0,603.0,131.0,190.0,166.0,546.0,0.0,0.0,114544.0,32.0,34.0,17.0,15.0,479.92,40.69,38.63,40.41,38.4,406.0,243.0,238.0,887.0,37.0,59.0,5.0,487.0,127.0,35.0,15.04,15.86,9.79,14.0,17.0,6.0,877.89,649.0,643.6,6.6,10.8,10.68,36.61,36.42,35.65,440.82,37.55,35.73,37.64,35.83,379.0,221.0,210.0,810.0,39.0,53.0,8.0,439.0,128.0,33.0,13.46,14.89,9.21,13.0,20.0,6.0,819.49,600.0,605.1,6.08,9.65,9.65,33.99,34.15,33.49,78.38,75.37,1923.0,1803.0,0.56,2.27,24.0,30.0,19.0,28.0,regular
8475184,2025,Chris Kreider,ANA,L,5on5,49,37152.0,854.0,34.27,0.52,0.52,0.55,0.51,0.54,0.52,297.0,75.36,8.23,5.56,18.38,2.63,39.49,28.71,7.95,8.2,7.92,3.0,2.0,60.0,43.0,34.0,137.0,13.0,8.0,6.0,0.0,17.0,0.0,33.0,39.0,52.0,95.0,7.0,14.0,8.0,44.0,10.0,39.0,65.0,31.0,7.0,2.47,3.77,1.99,4.0,3.0,1.0,133.96,103.0,101.65,17.0,1.2,0.95,2.09,7.33,7.27,7.21,854.0,123.0,78.0,169.0,484.0,103.0,123.0,131.0,497.0,8.0,15.0,107419.0,14.0,6.0,3.0,14.0,355.26,28.36,27.27,28.12,27.03,296.0,194.0,200.0,690.0,31.0,39.0,1.0,391.0,77.0,22.0,12.41,9.34,6.61,21.0,9.0,1.0,679.32,490.0,484.0,4.76,7.99,7.99,25.14,24.92,24.47,309.01,25.89,25.0,26.27,25.38,276.0,141.0,144.0,561.0,34.0,27.0,3.0,317.0,74.0,26.0,10.22,9.06,6.61,19.0,11.0,4.0,572.45,417.0,424.58,4.3,5.49,5.49,24.7,25.12,24.68,79.15,72.78,1842.0,1736.0,0.57,1.55,22.0,31.0,19.0,26.0,regular
8483445,2025,Cutter Gauthier,ANA,L,5on5,54,44876.0,962.0,57.29,0.52,0.51,0.54,0.5,0.54,0.51,223.0,161.66,11.4,9.65,40.57,5.37,85.47,66.54,10.91,11.39,10.92,10.0,6.0,144.0,75.0,61.0,280.0,30.0,14.0,17.0,0.0,31.0,0.0,81.0,76.0,130.0,205.0,7.0,14.0,23.0,42.0,11.0,47.0,173.0,38.0,8.0,4.77,4.7,1.93,6.0,8.0,0.0,276.94,219.0,217.23,13.0,1.99,2.94,1.96,11.44,11.44,11.27,962.0,115.0,93.0,157.0,597.0,135.0,155.0,158.0,514.0,23.0,33.0,114691.0,14.0,28.0,14.0,10.0,470.3,37.2,35.5,37.12,35.45,401.0,241.0,245.0,887.0,41.0,54.0,7.0,501.0,108.0,33.0,14.58,13.41,9.21,18.0,15.0,8.0,881.23,642.0,639.34,6.33,9.39,9.39,34.14,34.1,33.44,397.9,34.67,32.77,34.93,33.03,353.0,184.0,204.0,741.0,41.0,44.0,5.0,378.0,132.0,27.0,11.74,15.87,7.06,19.0,16.0,6.0,753.39,537.0,542.35,5.56,7.35,7.35,32.89,33.18,32.28,79.03,77.29,1861.0,1836.0,1.11,0.63,29.0,17.0,27.0,12.0,regular
8481563,2025,Drew Helleson,ANA,D,5on5,48,44444.0,991.0,8.58,0.46,0.53,0.49,0.53,0.49,0.53,187.0,32.42,0.95,1.69,9.7,1.07,19.54,14.05,0.94,0.95,0.94,2.0,4.0,31.0,16.0,56.0,103.0,8.0,2.0,6.0,0.0,3.0,0.0,16.0,20.0,29.0,45.0,10.0,20.0,0.0,48.0,21.0,36.0,47.0,0.0,0.0,0.95,0.0,0.0,2.0,0.0,0.0,102.84,47.0,47.64,25.0,0.34,1.0,0.0,1.29,1.3,1.28,991.0,101.0,109.0,163.0,618.0,125.0,133.0,126.0,607.0,0.0,0.0,96899.0,20.0,6.0,3.0,58.0,367.14,27.66,26.96,27.59,26.89,320.0,180.0,193.0,693.0,30.0,32.0,2.0,392.0,87.0,21.0,11.45,10.36,5.86,14.0,12.0,4.0,692.68,500.0,501.21,4.85,6.14,5.8,26.71,26.71,26.43,386.64,32.63,30.89,32.63,30.91,353.0,166.0,201.0,720.0,43.0,41.0,4.0,385.0,104.0,30.0,12.3,12.52,7.81,22.0,17.0,4.0,726.16,519.0,521.02,5.39,7.31,7.31,30.71,30.79,30.01,74.58,65.93,1747.0,1547.0,4.3,0.3,85.0,9.0,65.0,8.0,regular
8478366,2025,Frank Vatrano,ANA,R,5on5,38,23923.0,545.0,7.02,0.44,0.52,0.48,0.53,0.48,0.53,328.0,60.75,5.27,3.64,15.13,2.06,31.6,24.3,5.12,5.19,5.04,1.0,1.0,61.0,21.0,17.0,99.0,5.0,3.0,3.0,0.0,13.0,0.0,34.0,29.0,58.0,79.0,9.0,24.0,4.0,64.0,3.0,15.0,61.0,13.0,8.0,1.65,1.4,2.22,1.0,1.0,1.0,98.34,82.0,81.57,7.0,0.76,0.12,1.64,4.39,4.32,4.25,545.0,59.0,80.0,89.0,317.0,106.0,74.0,71.0,294.0,4.0,8.0,87196.0,24.0,20.0,7.0,17.0,203.61,15.14,14.79,14.93,14.59,193.0,88.0,114.0,395.0,12.0,18.0,1.0,228.0,42.0,11.0,6.49,5.43,3.23,3.0,7.0,2.0,391.32,281.0,279.53,2.62,3.2,3.2,14.56,14.42,14.23,228.67,18.95,18.21,19.09,18.35,198.0,109.0,118.0,425.0,21.0,27.0,4.0,231.0,62.0,14.0,7.37,7.49,4.08,6.0,12.0,3.0,429.81,307.0,310.1,3.1,4.95,4.95,17.1,17.21,16.92,67.09,61.42,1551.0,1399.0,0.58,0.98,13.0,15.0,11.0,14.0,regular
8482178,2025,Ian Moore,ANA,D,5on5,40,31765.0,747.0,13.33,0.56,0.51,0.53,0.51,0.55,0.51,200.0,51.6,3.16,2.81,14.82,1.74,28.35,21.12,3.03,3.14,3.02,3.0,2.0,38.0,34.0,31.0,103.0,7.0,2.0,2.0,0.0,17.0,0.0,22.0,29.0,36.0,70.0,9.0,18.0,0.0,16.0,13.0,30.0,64.0,5.0,3.0,1.64,0.67,0.85,1.0,1.0,0.0,102.34,72.0,72.38,17.0,0.58,0.31,0.71,3.03,3.04,2.98,747.0,76.0,80.0,99.0,492.0,101.0,108.0,75.0,463.0,0.0,0.0,85874.0,18.0,6.0,3.0,56.0,285.37,23.16,22.38,22.78,22.03,238.0,157.0,148.0,543.0,19.0,29.0,2.0,309.0,67.0,19.0,9.02,8.55,5.58,10.0,6.0,3.0,534.89,395.0,390.41,3.8,5.44,5.44,21.52,21.32,21.02,237.11,18.36,17.61,18.59,17.8,190.0,137.0,152.0,479.0,21.0,17.0,1.0,255.0,59.0,13.0,8.17,6.78,3.42,15.0,5.0,1.0,488.32,327.0,331.15,3.21,2.97,2.97,18.61,18.83,18.29,61.46,59.17,1452.0,1382.0,2.62,1.59,51.0,18.0,39.0,16.0,regular
8481605,2025,Jackson LaCombe,ANA,D,5on5,55,59473.0,1218.0,39.72,0.52,0.51,0.52,0.51,0.52,0.52,137.0,74.15,3.96,4.73,20.89,2.8,43.39,31.23,3.83,3.98,3.85,7.0,5.0,75.0,32.0,53.0,160.0,16.0,4.0,11.0,0.0,13.0,0.0,30.0,49.0,71.0,103.0,4.0,8.0,0.0,41.0,21.0,63.0,98.0,8.0,1.0,2.49,0.99,0.47,3.0,1.0,0.0,158.84,107.0,106.18,45.0,0.97,1.63,0.98,3.95,3.96,3.89,1218.0,141.0,197.0,233.0,647.0,109.0,104.0,206.0,799.0,0.0,0.0,103049.0,8.0,14.0,7.0,68.0,524.16,42.9,41.53,42.7,41.36,478.0,245.0,283.0,1006.0,40.0,55.0,5.0,564.0,121.0,38.0,16.55,15.44,10.9,17.0,15.0,8.0,997.19,723.0,718.15,7.22,9.89,9.95,40.17,40.05,39.39,483.63,40.32,38.49,40.34,38.55,424.0,232.0,255.0,911.0,48.0,50.0,6.0,491.0,131.0,34.0,15.61,15.27,9.44,22.0,20.0,6.0,915.95,656.0,658.44,6.75,9.38,9.38,37.7,37.72,36.86,76.18,72.61,1804.0,1702.0,5.23,0.58,110.0,11.0,92.0,10.0,regular
8476885,2025,Jacob Trouba,ANA,D,5on5,54,59548.0,1235.0,31.72,0.51,0.52,0.51,0.52,0.52,0.52,119.0,92.67,3.43,4.91,27.62,3.22,55.17,39.64,3.27,3.41,3.25,6.0,6.0,91.0,43.0,63.0,197.0,18.0,6.0,10.0,1.0,26.0,0.0,48.0,44.0,85.0,128.0,7.0,15.0,0.0,86.0,13.0,50.0,127.0,5.0,2.0,2.35,0.59,0.48,4.0,1.0,1.0,195.04,134.0,132.09,36.0,0.99,1.72,0.62,3.8,3.76,3.59,1235.0,118.0,154.0,224.0,739.0,140.0,127.0,183.0,785.0,0.0,0.0,99845.0,15.0,13.0,5.0,90.0,560.44,43.48,41.58,43.52,41.63,486.0,283.0,289.0,1058.0,40.0,69.0,7.0,608.0,123.0,38.0,17.54,15.67,10.27,17.0,17.0,6.0,1050.78,769.0,764.07,7.63,11.82,11.82,39.29,39.33,38.5,525.98,42.59,40.91,42.79,41.12,476.0,234.0,287.0,997.0,45.0,51.0,5.0,536.0,138.0,36.0,16.05,16.63,9.92,16.0,22.0,7.0,1001.97,710.0,714.25,7.1,9.57,9.57,40.12,40.28,39.49,73.33,67.89,1688.0,1573.0,6.46,1.41,128.0,23.0,107.0,22.0,regular
8478424,2025,Jansen Harkins,ANA,C,5on5,30,17303.0,418.0,2.58,0.44,0.53,0.46,0.52,0.47,0.53,304.0,24.35,2.54,1.89,5.53,0.81,13.35,8.94,2.4,2.49,2.34,0.0,0.0,20.0,14.0,12.0,46.0,3.0,3.0,3.0,1.0,3.0,1.0,14.0,10.0,17.0,31.0,5.0,13.0,79.0,86.0,4.0,18.0,21.0,11.0,2.0,0.61,1.34,0.59,0.0,2.0,1.0,45.45,34.0,33.54,6.0,0.4,0.43,0.96,1.98,1.96,1.88,418.0,44.0,39.0,60.0,275.0,61.0,73.0,44.0,240.0,79.0,87.0,70916.0,13.0,21.0,10.0,16.0,120.51,8.77,8.43,8.64,8.29,99.0,70.0,68.0,237.0,4.0,12.0,1.0,135.0,28.0,6.0,3.82,3.25,1.71,1.0,2.0,1.0,234.88,169.0,166.97,1.67,2.32,2.39,8.05,7.93,7.74,142.13,11.3,10.91,11.34,10.95,132.0,62.0,81.0,275.0,10.0,12.0,0.0,149.0,33.0,12.0,4.43,3.77,3.11,3.0,5.0,2.0,275.02,194.0,193.43,1.86,2.08,2.08,11.08,11.06,10.74,54.05,47.09,1239.0,1147.0,0.75,0.48,17.0,11.0,11.0,11.0,regular
