team_full,season,team_rank,points,net_flurry_xgoals,actual_goal_differential,penalty_differential,net_takeaways,corsipercentage,shooting_percentage,save_percentage,net_score_adjusted_shots,net_high_danger_shots,goals_saved_above_expected,net_high_danger_xgoals,pp_pct,pk_pct
Anaheim Ducks,2025,14.0,61.0,5.019999999999996,-17.0,4.0,16.0,0.52,0.0893987341772152,0.8937040065412919,143.03999999999996,7.0,-17.069999999999993,3.370000000000001,0.1818,0.7809
Boston Bruins,2025,8.0,68.0,-11.460000000000008,20.0,27.0,-25.0,0.49,0.10490693739424704,0.9151020408163265,-104.84000000000015,-18.0,14.650000000000006,-4.43,0.2688,0.7703
Buffalo Sabres,2025,9.0,67.0,0.7999999999999972,12.0,-13.0,33.0,0.48,0.1045643153526971,0.9096671949286846,-157.1600000000003,9.0,-0.35999999999999943,3.5700000000000003,0.1962,0.8276
Calgary Flames,2025,29.0,50.0,-4.340000000000003,-25.0,-27.0,-37.0,0.51,0.07200647249190939,0.9023136246786633,73.36000000000013,0.0,-4.489999999999995,0.10000000000000142,0.1557,0.8301999999999999
Carolina Hurricanes,2025,3.0,74.0,32.099999999999994,16.0,-5.0,68.0,0.59,0.08838568298027757,0.8990384615384616,1028.63,52.0,-2.260000000000005,13.23,0.2164,0.8129000000000001
Chicago Blackhawks,2025,28.0,51.0,-27.450000000000003,-26.0,17.0,30.0,0.47,0.09645131938125569,0.9007518796992481,-389.09000000000015,-12.0,-2.3899999999999864,-5.560000000000002,0.1935,0.8529000000000001
Colorado Avalanche,2025,1.0,81.0,35.70000000000002,71.0,-23.0,3.0,0.56,0.10877192982456141,0.9230769230769231,797.3800000000001,41.0,16.019999999999996,9.620000000000005,0.1552,0.8414
Columbus Blue Jackets,2025,15.0,61.0,3.5600000000000023,3.0,16.0,14.0,0.51,0.09298660362490149,0.9095200629425649,119.38999999999987,9.0,0.6700000000000017,1.4000000000000057,0.2014999999999999,0.7646999999999999
Dallas Stars,2025,5.0,73.0,-0.28999999999999204,18.0,-3.0,-5.0,0.46,0.10604651162790697,0.917169974115617,-276.74000000000024,-6.0,12.480000000000004,-1.5899999999999999,0.3,0.8024
Detroit Red Wings,2025,6.0,70.0,-4.920000000000002,-15.0,-22.0,9.0,0.49,0.08006535947712418,0.9076042518397384,-114.75,-8.0,1.5100000000000051,-2.7300000000000004,0.233,0.7959
Edmonton Oilers,2025,12.0,64.0,5.829999999999998,-13.0,6.0,-22.0,0.5,0.08979278587874137,0.8897370653095844,51.51000000000022,13.0,-10.120000000000005,2.739999999999995,0.3117,0.7870999999999999
Florida Panthers,2025,20.0,59.0,2.4000000000000057,-10.0,-12.0,-30.0,0.52,0.0927209705372617,0.8910614525139665,171.42000000000007,-4.0,-13.239999999999995,-1.129999999999999,0.1837,0.8289
Los Angeles Kings,2025,19.0,60.0,5.659999999999997,8.0,8.0,3.0,0.53,0.07844827586206897,0.9237132352941176,265.75,13.0,14.709999999999994,3.7399999999999984,0.1563,0.7726999999999999
Minnesota Wild,2025,4.0,74.0,1.1000000000000085,7.0,-30.0,10.0,0.47,0.09098228663446055,0.9215976331360947,-236.5300000000002,22.0,11.549999999999997,5.909999999999997,0.25,0.7793000000000001
Montreal Canadiens,2025,7.0,69.0,-4.509999999999991,8.0,22.0,-8.0,0.49,0.11130899376669635,0.896551724137931,-91.15000000000009,-14.0,-4.390000000000001,-3.419999999999998,0.2375,0.7709
Nashville Predators,2025,26.0,56.0,2.519999999999996,-29.0,5.0,48.0,0.52,0.0829145728643216,0.8961881589618816,109.38000000000011,22.0,-18.17,5.220000000000002,0.2112,0.8125
New Jersey Devils,2025,23.0,58.0,-7.159999999999997,-34.0,1.0,-14.0,0.51,0.06956521739130435,0.9007323026851098,67.2199999999998,-28.0,-5.109999999999999,-7.920000000000002,0.2143,0.7857
New York Islanders,2025,11.0,65.0,-14.080000000000013,6.0,-11.0,-11.0,0.48,0.08871662360034453,0.9188284518828452,-185.23999999999978,-34.0,25.700000000000003,-7.030000000000001,0.1617,0.8158
New York Rangers,2025,30.0,50.0,-6.200000000000003,-15.0,36.0,-28.0,0.49,0.08719346049046321,0.9099025974025974,-159.29000000000042,-7.0,0.5400000000000063,-1.0399999999999991,0.2302,0.7951999999999999
Ottawa Senators,2025,21.0,59.0,19.700000000000003,9.0,-15.0,31.0,0.53,0.10469011725293133,0.8879227053140096,317.99000000000024,21.0,-25.599999999999994,4.969999999999999,0.2316,0.7301000000000001
Philadelphia Flyers,2025,25.0,58.0,-0.4099999999999966,-4.0,17.0,1.0,0.48,0.10266159695817491,0.8921001926782274,-222.54999999999973,-11.0,-12.079999999999998,-3.780000000000001,0.1592,0.7881999999999999
Pittsburgh Penguins,2025,10.0,67.0,7.5,10.0,11.0,11.0,0.51,0.09818481848184818,0.9054640069384216,162.70000000000027,0.0,4.900000000000006,-0.22999999999999687,0.2695,0.8344
San Jose Sharks,2025,24.0,58.0,-17.039999999999992,-17.0,-18.0,13.0,0.45,0.10568295114656032,0.9019138755980861,-473.52999999999975,-10.0,-7.590000000000003,-2.5599999999999987,0.2077,0.7805
Seattle Kraken,2025,17.0,61.0,-19.159999999999997,11.0,4.0,7.0,0.45,0.09315589353612168,0.9302325581395349,-491.9000000000001,-31.0,26.11,-7.759999999999998,0.2257999999999999,0.7152
St. Louis Blues,2025,31.0,49.0,-6.1000000000000085,-30.0,-5.0,-22.0,0.47,0.09010600706713781,0.8915365653245686,-300.64999999999964,-15.0,-19.790000000000006,-3.639999999999997,0.1722,0.7351000000000001
Tampa Bay Lightning,2025,2.0,74.0,18.25,33.0,5.0,-31.0,0.53,0.1093044263775971,0.9158699808795411,391.52999999999975,19.0,7.700000000000003,4.91,0.2202,0.8423999999999999
Toronto Maple Leafs,2025,22.0,59.0,-9.350000000000009,-11.0,1.0,8.0,0.46,0.10780984719864177,0.8981549815498155,-452.5899999999997,-12.0,-22.510000000000005,-3.5199999999999996,0.1755999999999999,0.8345
Vancouver Canucks,2025,32.0,42.0,-20.710000000000008,-30.0,-2.0,12.0,0.48,0.08105646630236794,0.9075369075369075,-323.78999999999996,-5.0,5.170000000000002,-2.039999999999999,0.1871,0.7066
Vegas Golden Knights,2025,13.0,64.0,8.239999999999995,-4.0,-22.0,-19.0,0.51,0.0951219512195122,0.8868101028999065,12.9699999999998,5.0,-19.459999999999994,2.0100000000000016,0.2531,0.8047
Washington Capitals,2025,16.0,61.0,2.1300000000000097,26.0,5.0,-20.0,0.51,0.1007081038552321,0.9160493827160494,75.57999999999993,-14.0,18.33,-3.3500000000000014,0.1626999999999999,0.7845
Winnipeg Jets,2025,27.0,51.0,-11.730000000000004,2.0,15.0,-19.0,0.48,0.1020776874435411,0.9090909090909091,-153.23000000000002,-31.0,5.140000000000001,-6.420000000000002,0.1867,0.795
